Q1,Q2,Q3,Q4,Q5,Q6-1(Personal savings),Q6-2(Scholarship),Q6-3(Parents),Q6-4(Loan),Q6-5(University funding),Q7,Q8,Q9,Q10,Q11,Q12
International,China,Master's degree,English Language Course,2000~5000 CAD,Personal savings,,,,,I do not have any loan.,Above 8000 CAD,Somewhat satisfied,Male,Above 30,Married
International,Libya,Master's degree,English Language Course,2000~5000 CAD,,Scholarship,,,,I do not have any loan.,3000~5000 CAD,Somewhat satisfied,Male,Above 30,Married
International,Brazil,Secondary high school,English Language Course,2000~5000 CAD,,,Parents,,,I do not have any loan.,Above 8000 CAD,Very satisfied,Male,18~22,Single
International,France,Master's degree,Master's degree,2000~5000 CAD,,,Parents,Loan,,2000-5000 CAD,Above 8000 CAD,Very satisfied,Male,23~30,Married
International,Japan,Secondary high school,English Language Course,5000~8000 CAD,Personal savings,,,,,I do not have any loan.,3000~5000 CAD,Not so satisfied,Female,18~22,Single
Domestic,Canada,Bachelor's degree,Bachelor's degree,2000~5000 CAD,Personal savings,,Parents,,,I do not have any loan.,3000~5000 CAD,Not so satisfied,Male,23~30,Single
Domestic,Canada,Bachelor's degree,Bachelor's degree,2000~5000 CAD,Personal savings,Scholarship,,Loan,University funding,above 8000 CAD,Below 3000 CAD,Somewhat satisfied,Female,23~30,Single
Domestic,Canada,Bachelor's degree,Bachelor's degree,5000~8000 CAD,Personal savings,,,Loan,,above 8000 CAD,Below 3000 CAD,Not at all satisfied,Female,23~30,Prefer not to say
International,Japan,Secondary high school,English Language Course,Below 2000 CAD,,,Parents,,,I do not have any loan.,3000~5000 CAD,Somewhat satisfied,Female,18~22,Single
Domestic,South Korea,Master's degree,Master's degree,Below 2000 CAD,,Scholarship,,,,I do not have any loan.,3000~5000 CAD,Somewhat satisfied,Female,23~30,Single
International,china,Master's degree,English Language Course,2000~5000 CAD,Personal savings,,,,,I do not have any loan.,Above 8000 CAD,Somewhat satisfied,Male,Above 30,Married
International,Germany,Secondary high school,English Language Course,Below 2000 CAD,,,Parents,,,I do not have any loan.,Below 3000 CAD,Very satisfied,Female,18~22,Single
International,Chile,Bachelor's degree,English Language Course,2000~5000 CAD,Personal savings,,,,,I do not have any loan.,5000~8000 CAD,Very satisfied,Male,Above 30,Married
International,Yemen,Bachelor's degree,English Language Course,2000~5000 CAD,Personal savings,Scholarship,,,,I do not have any loan.,Above 8000 CAD,Very satisfied,Male,23~30,Single
Domestic,Canada,Master's degree,Bachelor's degree,Below 2000 CAD,,,,Loan,,above 8000 CAD,3000~5000 CAD,Somewhat satisfied,Female,Above 30,Single
International,Germany,Secondary high school,English Language Course,2000~5000 CAD,Personal savings,,Parents,,,I do not have any loan.,Below 3000 CAD,Somewhat satisfied,Female,18~22,Prefer not to say
